station,lines_serviced,system,geometry
Van Dorn Street,Blue,WMATA,-77.12923|38.79952
Van Ness-UDC,Red,WMATA,-77.06334715|38.94469235
Vienna/Fairfax-GMU,Orange,WMATA,-77.27218205|38.8776834
Virginia Square-GMU,"Orange, Silver ",WMATA,-77.10250001|38.88319321
Washington Dulles International Airport,Silver,WMATA,-77.44815361|38.9559489
Waterfront,Green,WMATA,-77.01692567|38.87731705
West Falls Church,Orange,WMATA,-77.18885463|38.90102256
West Hyattsville,Green,WMATA,-76.96902668|38.95569953
Wheaton,Red,WMATA,-77.05014925|39.03912566
Wiehle-Reston East,Silver,WMATA,-77.33959|38.94806
Woodley Park-Zoo/Adams Morgan,Red,WMATA,-77.05191893|38.92466507
